Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Re-release?,Release.Year,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed
NBA Live 06,True,1,True,True,Sports,True,EA,True,80,0.42,9.95,Sony PSP,E,True,2005,4.0,4.0,4.0,1,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,4.0,4.0,1,4.0
Gunpey DS,True,1,True,True,Strategy,True,Namco,True,70,0.05,12.95,Nintendo DS,E,True,2006,8.0,8.0,8.0,1,8.0,8.0,8.0,8.0,1,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Wii Fit,True,1,True,True,"Educational,Sports",True,Nintendo,True,80,9.6,24.95,Nintendo Wii,T,True,2007,6.066666666666666,10.016666666666667,4.0,11,4.016666666666667,0.0,0.0,0.0,0,0.0,12.0,13.75,13.0,3,10.25,3.85,4.45,3.9333333333333336,8,3.45
Fantastic Four: Rise of the Silver Surfer,True,1,True,True,Action,True,2K,True,35,0.04,14.95,Nintendo DS,E,True,2007,7.6,9.5,6.416666666666667,7,5.683333333333334,0.0,0.0,0.0,0,0.0,10.333333333333334,11.083333333333334,10.0,3,9.583333333333334,5.566666666666666,6.033333333333333,5.75,4,5.016666666666667
Sonic Chronicles: The Dark Brotherhood,True,1,True,True,"Action,Role-Playing (RPG)",True,Sega,True,74,0.52,17.95,Nintendo DS,E,True,2008,22.166666666666668,38.71666666666667,20.0,13,15.45,39.16666666666666,47.75,39.16666666666666,2,30.58333333333333,21.7,28.1,20.0,7,17.483333333333334,14.5,18.73333333333333,12.0,4,11.533333333333331
Blazing Angels: Squadrons of WWII,True,2,True,True,Action,True,Ubisoft,True,66,0.37,16.95,X360,E,True,2006,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Dragon Quest Monsters: Joker,True,1,True,True,Role-Playing (RPG),True,SquareEnix,True,75,0.24,14.95,Nintendo DS,T,True,2006,37.96666666666667,62.03333333333333,37.65,14,25.03333333333333,63.63333333333333,74.95,63.63333333333333,2,52.31666666666667,30.03333333333333,37.46666666666667,35.833333333333336,3,22.6,34.9,39.55,37.3,9,30.416666666666668
The Elder Scrolls IV: Shivering Isles,True,1,True,True,"Action,Role-Playing (RPG)",True,,True,86,0.18,24.95,X360,E,True,2007,21.8,46.9,15.8,38,12.9,49.23333333333333,63.016666666666666,52.86666666666667,5,35.516666666666666,20.816666666666663,34.68333333333333,17.933333333333334,22,13.183333333333334,11.266666666666667,15.316666666666666,10.0,11,9.483333333333333
Shadowrun,True,1,True,True,Action,True,Microsoft,True,66,0.38,12.95,X360,E,True,2007,28.85,49.2,27.0,141,18.866666666666667,42.53333333333333,55.25,37.5,12,34.5,29.2,45.25,27.35,102,22.633333333333333,21.45,28.35,20.0,27,15.266666666666667
No More Heroes,True,1,True,True,"Action,Racing / Driving",True,Ubisoft,True,83,0.29,17.95,Nintendo Wii,M,True,2007,14.633333333333333,35.9,13.0,80,9.4,26.883333333333333,41.833333333333336,24.5,12,19.83333333333333,14.4,19.35,14.0,34,11.833333333333334,10.533333333333331,12.816666666666666,10.0,34,7.633333333333333
